Q1	Q2	Q3	Q4	Q5	Q6	Q7	Q8	Q9	Q10	gender	age	source	country
3	4	1	3	2	3	3	3	3	3	1	44	3	AU
3	3	2	3	4	3	3	3	4	3	2	34	1	AU
4	4	1	3	1	3	3	3	2	2	1	32	3	US
4	4	2	4	1	3	3	3	2	2	1	61	1	CA
2	3	3	2	3	2	1	3	1	4	1	28	3	GB
4	4	1	3	1	3	4	3	2	1	2	21	3	US
3	3	3	3	3	2	1	4	4	4	2	27	1	CA
3	4	3	4	3	4	4	4	4	4	1	39	3	US
3	4	1	4	2	4	3	2	2	2	1	39	3	US
2	1	4	2	4	2	1	4	4	4	2	33	3	DE
3	3	3	2	4	1	1	4	4	4	1	41	3	BE
4	4	1	4	1	4	3	2	2	1	2	54	1	US
3	3	3	2	2	2	2	3	3	3	2	44	1	US
4	4	1	4	1	4	4	1	1	1	1	32	3	GR
1	4	4	2	4	1	1	4	4	4	1	27	3	GB
4	4	1	4	1	4	4	1	1	1	2	13	1	US
3	4	1	4	1	3	3	2	1	1	2	19	1	PH
3	4	2	3	3	2	2	4	2	1	2	49	1	US
3	3	1	2	3	2	1	3	4	3	1	26	3	IN
1	3	3	3	3	2	2	3	3	3	1	21	1	US
4	4	4	4	4	2	1	4	4	2	1	53	1	US
3	3	2	3	2	3	3	1	1	3	1	37	3	US
4	4	0	3	1	4	4	2	1	1	2	40	1	ES
4	4	1	3	1	3	3	3	3	1	2	51	3	JP
1	1	4	1	3	1	1	3	4	0	1	40	1	US
4	4	2	4	1	4	3	2	1	1	2	28	1	SI
0	3	2	2	2	3	2	4	4	4	2	22	1	US
3	3	3	3	2	2	2	3	2	2	2	29	3	GB
3	2	1	3	3	3	4	3	3	2	2	17	1	US
1	1	1	1	1	1	1	1	1	1	2	40	3	HK
3	3	3	2	2	2	1	3	3	3	2	21	3	CA
3	3	2	4	2	3	3	2	2	1	2	26	1	US
3	3	2	2	2	3	3	3	4	4	1	38	1	US
3	2	2	3	0	3	0	3	2	0	2	23	3	HK
3	3	3	4	4	2	1	3	3	3	1	31	1	US
4	4	3	3	3	3	2	3	3	3	1	54	1	EU
4	4	1	3	4	3	3	3	1	1	2	52	3	CA
3	3	2	3	3	2	2	4	3	3	2	25	3	RO
3	4	1	3	1	3	4	1	1	1	2	20	3	US
4	4	1	4	1	3	4	2	2	1	2	59	3	US
4	4	2	4	2	3	3	2	3	1	1	24	3	CA
4	4	2	3	2	3	3	1	2	2	1	47	3	US
4	4	1	4	1	4	4	1	1	1	2	44	3	GB
3	3	2	4	3	3	2	2	1	2	1	42	1	US
4	4	2	3	3	4	4	2	1	1	1	53	3	GB
4	4	1	3	1	4	4	2	1	1	2	22	3	CA
4	4	2	3	1	3	4	3	3	2	2	21	3	PK
4	4	2	4	2	3	2	4	2	2	1	12	3	PK
4	4	1	2	2	3	3	2	2	2	1	45	3	PK
3	3	3	3	3	2	2	4	4	3	2	21	3	GB
3	3	3	4	2	2	1	2	3	2	1	24	1	US
3	3	1	3	2	3	2	2	1	1	2	14	3	US
4	4	1	3	1	3	3	2	1	1	2	14	3	US
1	2	3	4	1	1	2	3	3	3	2	25	1	US
3	3	4	3	4	1	1	4	4	4	1	47	3	LU
4	1	1	3	2	3	3	1	2	1	2	49	1	CL
2	2	4	2	3	1	1	3	3	3	1	25	1	GB
2	3	3	2	4	2	2	4	4	4	1	18	3	US
3	3	2	3	2	3	3	3	3	3	2	27	1	US
4	4	1	4	1	4	4	2	1	1	2	34	3	US
3	3	2	3	2	4	3	3	3	3	1	36	1	SG
4	4	2	3	1	3	3	1	2	2	1	20	3	TR
4	4	2	4	1	3	3	3	3	3	2	43	1	US
4	3	2	4	3	3	3	3	3	1	1	35	1	AU
4	4	1	4	1	3	4	1	3	1	2	23	3	GB
3	3	3	2	4	2	1	4	4	4	1	40	3	IN
3	3	2	2	2	2	2	2	3	3	2	59	1	US
3	2	2	3	3	3	2	2	2	3	2	31	1	US
3	3	2	3	3	2	2	4	3	3	1	29	3	RU
3	3	2	4	2	4	3	3	2	2	2	18	3	HK
3	4	2	3	1	3	3	2	2	1	2	40	3	RO
3	3	1	3	2	2	2	2	3	1	1	23	3	NO
4	4	1	4	1	4	4	1	1	1	1	19	3	ES
4	4	1	4	2	2	4	1	3	3	2	40	1	FR
4	4	1	4	1	4	2	3	2	1	1	27	1	US
3	3	2	3	2	3	3	3	2	3	2	21	1	JE
4	3	3	3	4	3	1	4	3	3	1	19	1	JE
4	4	1	3	1	3	3	2	2	1	2	51	1	US
1	3	4	4	3	2	2	3	4	3	1	14	1	US
2	3	3	2	2	1	2	3	4	4	2	24	1	GH
3	3	4	2	3	3	1	2	4	4	2	18	1	NZ
4	4	1	3	2	3	3	3	3	2	2	29	1	GB
4	4	3	4	1	4	4	1	4	1	2	19	1	GB
3	3	3	3	3	1	1	3	3	3	1	21	3	US
4	4	1	4	2	4	4	1	2	3	2	27	3	DK
4	4	2	3	1	3	3	4	2	1	2	35	3	US
2	3	3	3	2	3	2	3	3	3	1	28	3	GB
3	3	3	3	3	3	3	3	3	2	2	22	1	AU
3	3	2	3	2	3	3	3	3	2	2	30	3	US
2	2	2	2	2	2	2	2	2	2	2	20	3	US
3	3	3	4	3	4	4	4	1	1	1	17	1	IN
3	3	2	3	2	2	2	2	2	2	2	57	1	GB
4	4	1	4	1	4	4	1	1	1	2	16	3	IL
4	4	1	3	1	4	4	1	1	1	2	22	1	US
4	4	1	4	1	4	4	1	1	1	2	27	1	GB
2	2	2	3	3	2	1	3	3	3	1	19	3	GB
